Reading in simulation parameters
         44326243 function calls (41267471 primitive calls) in 132.976 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       87    0.001    0.000    0.001    0.000 docstring.py:38(__call__)
      176    0.001    0.000    0.003    0.000 os.py:673(__getitem__)
       48    0.001    0.000    0.007    0.000 argparse.py:159(__init__)
      134    0.001    0.000    0.002    0.000 traitlets.py:651(tag)
       44    0.001    0.000    0.002    0.000 gettext.py:211(_expand_lang)
      156    0.001    0.000    0.002    0.000 token.py:16(split)
       87    0.001    0.000    0.003    0.000 fromnumeric.py:73(_wrapreduction)
      275    0.001    0.000    0.001    0.000 sre_parse.py:903(fix_flags)
      175    0.001    0.000    0.007    0.000 abc.py:125(__new__)
      100    0.001    0.000    0.004    0.000 font_manager.py:889(_json_decode)
      543    0.001    0.000    0.012    0.000 {built-in method builtins.next}
      289    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
      748    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:719(create_module)
       67    0.001    0.000    0.002    0.000 pyparsing.py:4078(__init__)
      415    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
       36    0.001    0.000    0.038    0.001 __init__.py:1459(_add_data_doc)
      268    0.001    0.000    0.002    0.000 __init__.py:1956(_setattr_cm)
       37    0.001    0.000    0.012    0.000 argparse.py:1322(add_argument)
      815    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:424(has_location)
      742    0.001    0.000    0.001    0.000 {built-in method sys.getrecursionlimit}
    63/11    0.001    0.000    0.013    0.001 pyparsing.py:3732(parseImpl)
       25    0.001    0.000    0.027    0.001 enum.py:389(_create_)
      811    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
        1    0.001    0.001    0.001    0.001 containers.py:137(_Split)
      310    0.001    0.000    0.002    0.000 socket.py:91(<lambda>)
      309    0.001    0.000    0.314    0.001 re.py:232(compile)
      748    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
        1    0.001    0.001    0.026    0.026 os.py:977(popen)
       94    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
  263/261    0.001    0.000    0.001    0.000 pyparsing.py:497(__init__)
        1    0.001    0.001    0.002    0.002 __init__.py:873(<dictcomp>)
       89    0.001    0.000    0.001    0.000 __init__.py:2096(_check_isinstance)
      423    0.001    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
      273    0.001    0.000    0.001    0.000 function_base.py:428(_needs_add_docstring)
      263    0.001    0.000    0.001    0.000 pyparsing.py:488(__new__)
       91    0.001    0.000    0.002    0.000 inspect.py:525(_findclass)
      535    0.001    0.000    0.001    0.000 sre_compile.py:453(_get_iscased)
       67    0.001    0.000    0.006    0.000 pyparsing.py:3720(__init__)
        1    0.001    0.001    0.041    0.041 mathtext.py:2822(<listcomp>)
        1    0.001    0.001    0.089    0.089 _axes.py:97(Axes)
      130    0.001    0.000    0.003    0.000 pyplot.py:1702(<genexpr>)
      182    0.001    0.000    0.002    0.000 os.py:751(encode)
      273    0.001    0.000    0.003    0.000 function_base.py:446(_add_docstring)
      441    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
       56    0.001    0.000    0.002    0.000 inspect.py:3035(__str__)
       74    0.001    0.000    0.001    0.000 argparse.py:582(_format_args)
       87    0.001    0.000    0.002    0.000 traitlets.py:1627(__init__)
      113    0.001    0.000    0.001    0.000 transforms.py:163(set_children)
      309    0.001    0.000    0.001    0.000 socket.py:86(<lambda>)
